最佳作词人陈信宏,7800392,这世界无比残酷 但我却依然爱着你,谁说站在光里的才算英雄
朱迪_阿尓瓦雷兹,37265529,,双城之战是真好看，没有英雄联盟这个ID加持也会是一部神剧，场景和剧情做的太好了
破防之王,34329330,好硬的嘴,"（转自别的视频）去吗？去啊！以最卑微的梦！
战吗？战啊！以最孤高的梦！
致那黑夜中的呜咽与怒吼
谁说站在光里的才算英雄

Khan，坦然面对自己的失败，即使是亚军，也依然是值得尊敬的对手
——谁说站在光里的才算英雄"
欧比都,95794929,皮皮,DK战吗？EDG战啊！我们是冠军
我的大嘴会自爆,4740572,可爱捏,昨天看完第三集，给我整哭了都[大哭][大哭][大哭][大哭][大哭]
-MOGEKO-,4398360,hshs^q^,卑微问一句，没玩过LOL影响看剧情吗？不算陈奕迅粉丝，但也很喜欢听他的歌，这首歌太好听了[打call]
谭乔,330415548,"『全球华语地区享有一定盛誉』（谭乔工作室vx: qiaoqiaodexing） 360行,行行sir很强",双厨狂喜[给心心]一生Eason，益生一生。老年人到此打call[打call]
笨蛋杰杰丶,86921139,完美常年S B5前TOP100 分辨率1280x960 edpi 784,动画太好看了，昨天震撼到我！
一扬秋雨,7951631,我行至桥边,拳头说这是给玩家的一封情书，我感受到了。
普通帅哥九思,8558902,该账号封禁中,那是真的牛批
孤独时代的星辰,177044121,反正都一样 你既然这样 我还能怎样 不然要哪样？,能不能把游戏停服  让所有员工加班做第二季？
兔耳朵的艾琳,9107469,布偶猫莫奈的铲屎官,皮城和祖安不需要海克斯科技，而需要马克思主义。
拉菲娅,15001281,泰拉星业余剪辑师,《双城之战》好看到什么程度 ，外网imba开播评分9.4，这是什么概念 ，历史达到9.3的全世界只有七部，我真的对拳头服了，音乐，游戏，动漫全是最顶尖水平，现在就差一个电影，大满贯。（转）
鷥妜,172213,臭写作的,"他好牛。。。
听了很多翻唱，或多或少有自己的痕迹。
是痕迹不是特色，翻唱对这首歌的理解各不相同，所以情感不一样。
但是医生的，听不出痕迹。
他只是在唱歌，所以每一次听都有新的感觉。这种感觉不是歌手传递给听众的，而且听众内心被触动的回忆和情感。
翻唱听几次就腻了，好像一个人给你讲他的故事，可是再有趣的故事，听十次，二十次，三十次，总会腻。
医生的则很像一台命运三女神的占卜机，每一次都会照出属于你的不同面。
不带怜悯，不带评价，只是映出你内心深处的脆弱。
仿佛被生活折腾出一身伤痕的你疲惫地路过一位安静聆听的老者，即便他什么也没说，你却不禁掉下眼泪。
 他怎么做到的……好牛……"
今天也是非常困,60936911,请输入新个性签名,叔叔别压啦，快一个月了差不多每时每刻都是上千+人在看怎么还是这点播放量呢[藏狐]
名字叫黑土,401002208,,因为原唱太优秀，所有的翻唱都显得索然无味。
o猫猫爱苏苏o,325789164,,我们语文老师教我们唱了这首歌，是真的惊喜[给心心]别赞我，被老师看到就gg了[辣眼睛]
南华大学,34263619,"明德、博学、求是、致远
欢迎加入南华大学b站视频投稿交流群：792805851
投稿也可私信",这种活多来点[doge]
无名の兔子,6480512,查成分差不多得了,我是个疯子，有Eason开的证明
最佳作词人陈信宏,7800392,这世界无比残酷 但我却依然爱着你,谁说站在光里的才算英雄
朱迪_阿尓瓦雷兹,37265529,,双城之战是真好看，没有英雄联盟这个ID加持也会是一部神剧，场景和剧情做的太好了
破防之王,34329330,好硬的嘴,"（转自别的视频）去吗？去啊！以最卑微的梦！
战吗？战啊！以最孤高的梦！
致那黑夜中的呜咽与怒吼
谁说站在光里的才算英雄

Khan，坦然面对自己的失败，即使是亚军，也依然是值得尊敬的对手
——谁说站在光里的才算英雄"
欧比都,95794929,皮皮,DK战吗？EDG战啊！我们是冠军
我的大嘴会自爆,4740572,可爱捏,昨天看完第三集，给我整哭了都[大哭][大哭][大哭][大哭][大哭]
-MOGEKO-,4398360,hshs^q^,卑微问一句，没玩过LOL影响看剧情吗？不算陈奕迅粉丝，但也很喜欢听他的歌，这首歌太好听了[打call]
谭乔,330415548,"『全球华语地区享有一定盛誉』（谭乔工作室vx: qiaoqiaodexing） 360行,行行sir很强",双厨狂喜[给心心]一生Eason，益生一生。老年人到此打call[打call]
笨蛋杰杰丶,86921139,完美常年S B5前TOP100 分辨率1280x960 edpi 784,动画太好看了，昨天震撼到我！
一扬秋雨,7951631,我行至桥边,拳头说这是给玩家的一封情书，我感受到了。
普通帅哥九思,8558902,该账号封禁中,那是真的牛批
孤独时代的星辰,177044121,反正都一样 你既然这样 我还能怎样 不然要哪样？,能不能把游戏停服  让所有员工加班做第二季？
兔耳朵的艾琳,9107469,布偶猫莫奈的铲屎官,皮城和祖安不需要海克斯科技，而需要马克思主义。
拉菲娅,15001281,泰拉星业余剪辑师,《双城之战》好看到什么程度 ，外网imba开播评分9.4，这是什么概念 ，历史达到9.3的全世界只有七部，我真的对拳头服了，音乐，游戏，动漫全是最顶尖水平，现在就差一个电影，大满贯。（转）
鷥妜,172213,臭写作的,"他好牛。。。
听了很多翻唱，或多或少有自己的痕迹。
是痕迹不是特色，翻唱对这首歌的理解各不相同，所以情感不一样。
但是医生的，听不出痕迹。
他只是在唱歌，所以每一次听都有新的感觉。这种感觉不是歌手传递给听众的，而且听众内心被触动的回忆和情感。
翻唱听几次就腻了，好像一个人给你讲他的故事，可是再有趣的故事，听十次，二十次，三十次，总会腻。
医生的则很像一台命运三女神的占卜机，每一次都会照出属于你的不同面。
不带怜悯，不带评价，只是映出你内心深处的脆弱。
仿佛被生活折腾出一身伤痕的你疲惫地路过一位安静聆听的老者，即便他什么也没说，你却不禁掉下眼泪。
 他怎么做到的……好牛……"
今天也是非常困,60936911,请输入新个性签名,叔叔别压啦，快一个月了差不多每时每刻都是上千+人在看怎么还是这点播放量呢[藏狐]
名字叫黑土,401002208,,因为原唱太优秀，所有的翻唱都显得索然无味。
o猫猫爱苏苏o,325789164,,我们语文老师教我们唱了这首歌，是真的惊喜[给心心]别赞我，被老师看到就gg了[辣眼睛]
南华大学,34263619,"明德、博学、求是、致远
欢迎加入南华大学b站视频投稿交流群：792805851
投稿也可私信",这种活多来点[doge]
无名の兔子,6480512,查成分差不多得了,我是个疯子，有Eason开的证明
Typing_TvT,485574391,我是大帅B,这条评论满10个赞我去班级元旦晚会上唱这首歌社死[脸红]
星之卡比kira,5649654,一直都要开开心心的！,谁说住在白宫里才算总统
榴莲很留恋,333107684,,"你再怎么压播放量，也没用。
    

                                           ————来自一名网易难民"
千叶团子屋,57782505,"偶尔唱歌每天打游戏，直播时间晚8点到12点。
微博@千儿叶儿",原来我不是不喜欢听中文歌......
Sun丶Knights,24197795,,讲个笑话  搜孤勇者搜出来第一页全是几万播放量的翻唱，而几百万播放量的官方mv还要往下翻
hellazrael,32726935,,一人血书B站跨年请Eason现场唱孤勇者
请你不要到处叩叩叩,470779035,牛魔の謝礼を見る,先别做你那b游戏了，反正服务器你也整不明白，给我重金砸这个影视这块，呜呜希尔科[大哭]
深沉如山温煦如风,139338,呀咧呀咧daze,这播放量压的，现实版网络双城之战是吧[doge]
看到我就催我去考研,85346204,躺平了,"那边的弹幕真的离谱，总结有以下的
1，画质怎么这么差，没经费吗
2，怎么没有英雄联盟的英雄，蹭英雄联盟ip，这叫什么动画
3，人物太丑了，不如腾讯的其他3D动画
4，感觉剧情好无聊，不如斗破，斗罗。。。
很多观众欣赏水平不太行，一直看得是流水线动画，撑死及格分，现在看到厉害的作品反而不适应了。这部有多么优秀我就不赘述了，关键真的有很多人看不出来这个动画有多厉害，不是反串，真的该反思，连什么好看都不知道，这样下去什么时候中国动画能有这个水平。"
桃之夭夭自得繁花,9397008,谁以微笑，淡了年华,动漫第二集，杰斯被执法者抓走了问，为什么抓我。弹幕说，你都选杰斯了，不抓你抓谁[笑哭]
巧克克逗,290061866,,这歌热度压不住的 别压了
就是你大东哥我,312923506,,"希尔科是一个教父式的人物，也是一个被困死的人，他被永远的困在了被范德尔背叛的那一天，他错误的认为只有力量和忠诚才是活下去的方式，所以他和自己的手下部众都是用利益联结在一起，我给你足够的利益，你对我献上你的忠诚。而金克斯这个小女孩与他相似的经历，唤醒了希尔科之前的记忆，那就是人不单单会因为利益而聚集，感情也可以。于是希尔科把他仅剩的情感投注到了金克斯身上，可他偏偏还是信奉丛林法则的那一套，所以他希望把金克斯培养成丛林里最强大的那只狮子，冷血无情，活到最后的最强者，这就很矛盾了，这也是金克斯疯疯癫癫的一部分原因，一方面希尔科教导她要冷血自我，一方面她又能感受到希尔科温暖的情感。所以希尔科是一个矛盾的人，他冷血无情，不择手段，多年的手下该杀就杀，哪怕是小孩也会下死手，但是但最终目的就要达到的时候，代价仅仅只是牺牲一个人的时候，他拒绝了，匪夷所思却又合情合理。
金克斯同样也被困住了，她的诞生是一个彻头彻尾的悲剧，是一场眼看的发生却无法阻止的悲剧，希尔科和蔚，这两个人是金克丝的悲剧最大推手。蔚重情重义，却不能细腻的处理感情，范德尔死的时候，她给了最恐惧的爆爆最狠的一拳：金克斯就是爆爆，哪怕唤醒了爆爆也不能改变金克斯这些年犯下的累累罪行，但蔚没有意识到，她固执的认为金克斯不是爆爆，她不接受现在的妹妹而是想要回到过去，于是在最终选择的时候，他提出了逃避的想法，这并不是金克斯想要的，金克斯也是从那时终于确定，姐姐不会接受金克斯，她只会接受爆爆。希尔科，他信奉丛林法则却在教导金克斯的时候倾注了不该有的父爱，他的怜悯·同情把金克斯彻底扭曲，金克斯本该成为一个冷血的猎食者，彻底摆脱爆爆，成为丛林里最强大的猎手，然而希尔科的父爱却让留住了爆爆，留住了那个当年那个在他怀里哭泣的被抛弃的小女孩。所以金克斯诞生了，一个灵魂被撕扯成两个，却又被强行拧在一起，困在一个身体里，这就是金克斯。"
吃橘子的牛丶,77982966,,"第一次听完全无感，看完双城之战再听，直接上头，平面的人物直接活了。
然后在看英雄的台词
蔚:先打一拳，打的时候再把问题问遍。
金克斯:我有，最美好的初衷。
杰斯:为了更美好的明天而战。
维克多:加入光荣的进化吧！
打游戏的都懂[大哭]"
四分之一爱尔兰,396963894,既知死终至，何须难为欢？,看了前三集，我真觉得这部动漫是可以封神的，各种暗喻镜头真的让我头皮麻发，个人认为在第三集结尾，金克丝和蔚走上了不同的人生道路，也暗示了祖安和皮城本是同源，最终也是因为一场“爆炸”就此分道扬镳，蔚和金克丝两姐妹就像双城的缩影，她们之间的矛盾是从出生和人生的每一步创造的，她们本身即是不可调和的矛盾，谁都没有做错（包括金克丝，个人认为她的做法是没错的，只是结果太坑了），包括这次对于金克丝的重设，她也不再是简单的疯子，愉悦犯，从蔚丢下她自己去救人的时候，金克丝的反应可以看出她本身精神就是很脆弱的，包括预告片中的只言片语，也可以看出金克丝的疯狂是在精神崩溃时才会产生的。蔚即使在最后也是护着金克丝的，她打了金克丝一圈后，手上面沾到了金克丝的血，又看了看手臂上的血，个人觉得这是在暗示“亲人的血”和“敌人的血”，从蔚最后的表情也能看出，她丢下金克丝并不是恨她，而是自己无法面对金克丝了，所以我真的很期待这对姐妹，和双城之间的结局是什么样的
量子-少年阿宾,32226124,不着急，慢慢查,这宣发，这制作，是几乎不可能回本的了，肯定是在下一盘大棋，希望其他故事赶快安排上，恕瑞玛、比尔吉沃特还有阿特瑞斯的故事，求求你们gkd
乙凯,4882630,对,叔叔，你压得住双城之战热度，你压得住陈奕迅吗？[呲牙]
菜阔子,5977651,1,叔叔你可太会整活了，播放量越看越低了是吧[疑惑]
梦犬人,38593681,,"希尔克死了
金克丝疯了
维克托进化了
范德尔变成狼人了
杰斯失去爱人和兄弟了
蔚失去爆爆了
所有人都失去了很多东西，但这是神作"
一些不断涌出火花的枪,510775656,你的骄傲不值一提，继续努力学习才是你该做的。,你请陈奕迅唱主题曲，你就是登顶巨神峰的潘森，是解除封印的剑魔，是永别牢笼的塞拉斯，是征讨符文大地的佛耶戈。在这之前，你是一条腾飞的巨龙，在这之后，你是奥利瑞安·索尔，你即是天选，也是唯一，你即为永恒，你已经参透了符文，我输了[傲娇]
最爱小章鱼,139574573,旅行者，请不要忘了旅途的意义。,"小时候觉得他的歌都很简单，很无趣。
只有自己试着去唱之后才会发现，原来是因为他唱的太轻松，才让你觉得很简单。
听了好多翻唱回来听依然没有可以比得上的。总感觉其他的声音深度差一些、感情差一些。
特别是那几个表情。在唱：要戒了你的狂这句时候的表情真的完美代入情绪[委屈]
每次听都特有感触，感觉恍惚看到了很多为祖国付出、为我们生活付出，但是不能出现在阳光下的人"
软泥怪悠米,108747567,,"动画组来全杀了
音乐组也尽力了
设计师在干什么#设计师状态"
嫩娘来,3300083,嘤嘤嘤,我作为一个看过至少千部各种风格国漫日漫美漫的资深阿宅，看了一集就知道这动画片全是钱堆起来的，也不知道什么nt能觉得这样的动画资金不足？[藏狐]
渚不玉,71508431,内圣外王,都快一个月了还4000多人同时在看啊
希灵使徒-珊多拉,12991936,,这都快20天了，还有5000+人在线，放平时播放量得两千万以上了，结果才八百，b站格局太小了
麻薯菌,9601234,***,看完双城之战前六集后，我感觉这首歌完全就是写给维克托的，从小孤身一人，出生底层身份低下，身体残疾被人排挤、嫌弃，但却有着最孤高的梦，为了底层民众 在黑暗之中不断摸索，直至遍体鳞伤。不知道大家有没有注意到一个细节：维克托出场以来都是站在黑暗中的，最后站在阳光下却是快死时与大头一起出现在黄昏。回头看“谁说站在光里的才算英雄”这句歌词简直太贴切了。
得莫忍者,30873388,加油啊！我！,哇这么晚同时观看2000+，tql吧
Yori-7,211604488,慢慢前行，保持初心！,刚刚的消息，《Arcane》现在37国登顶，超越《鱿鱼游戏》成为当前网飞最火剧集
我只会断位,382728014,一个动态只有抽奖和投票的人,半小时涨7万，结果现在才200万[给心心][给心心]
就是你大东哥我,312923506,,你是希尔科，你有些惊讶的看着怀里的小女孩，她在颤抖，手臂紧紧的像钳子一样箍住你，你完全没想过一个娃娃可以有这么大的力气，他啜泣着，告诉你她的姐姐，抛弃了她，这句话勾起了你的回忆，你看向远处男人的尸体，曾几何时，他也是你的兄弟，但却也背弃了你，伤害了你，背叛了你们共同的理想。你曾不止一次的想要报复他，然而当你真的看见他的尸体躺在你面前时，那种大仇得报的快感却没有如想像般到来。你底下头看着怀里的小女孩，悲伤愤怒绝望的她，一如当年的自己。于是你慢慢也抱住了这个小女孩，是的，我们要让他们都后悔。
爱吃蛏的琛儿,33849350,被故事选中，没资格懵懂。,"对于残疾人的我，今天反复听这首歌。
喜欢那句歌词:人只有不完美值得歌颂。
给我力量。"
黑瞳kl,431969305,跨六DNF玩家，自己的小窝805085895,b站应该是出了点问题，同时观看人数卡住了，明明才1000多w的播放，上架一个月的视频一直维持2000+的同时观看，这很明显不对劲啊，肯定是被后台改了同时播放和投币[doge]
真羽桑,8825536,"云顶电一大师最高182点
阿克尚绝活哥
绘画、生活、游戏类up主
欢迎商业合作",我从来没想过一家游戏公司做出来的动漫能精彩到这种程度，曾经守望的精彩只有短短几分钟，而双城之战以连续剧的方式呈现了顶级的故事，宏大的世界观，完美的三渲二画风，极致饱满的人物情感，很久没有品尝过如此醇厚的优秀动漫了，直冲灵魂层面的享受，每个世界氛围感都达到了顶峰，穷与富的塑造能力是编剧的宝物。杰斯的实验是无限的未来，蔚与金克丝的情感太好哭了。其他伙伴之间的无间配合，希望之前又传递无尽绝望，大叔细腻的感情诉说着大人的无奈。双故事线同时推进，完全沉浸的观影体验，21年末居然有这样的作品出世，是拳头公司送给我们最好的礼物，这部作品如同精致的艺术品，是当之无愧的冠军！
威尔卡布斯,24100524,,参考kda、more的播放，根据评论数，孤勇者目前的实际播放应该在960w左右
苗木鸽鸽,129281030,缘，妙不可言,"第二季第二季
皮城的幕后势力  卡密尔
后来的祖安大亨   厄加特
善良的皮城女孩   奥莉安娜
变异的老鼠          图奇
有赤子之心的怪物扎克
男主角剧本的       伊泽瑞尔
祖安的守护神       迦娜
黑默丁格老乡       吉格斯
金克丝的病友       蒙多
都还没登场啊"
子夜独坐当时秋,11702244,,这歌真的离谱，听起来很简单，听了一圈翻唱一个能打都没有
热心网友甘樂,4906692,,再不来听听原版我dna要被篡改了[笑哭]最绝的是那玩意我才听了两遍
